======================================================================
IPTV 酒店源流量测试报告 (2026-04-11 01:30:48)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
112.132.10.54:9901        | 存活:3 | 均值:0.58Mbps | 峰值:0.71Mbps
112.27.145.212:9902       | 存活:3 | 均值:5.33Mbps | 峰值:9.18Mbps
112.30.73.119:9901        | 存活:3 | 均值:1.94Mbps | 峰值:2.95Mbps
112.99.195.122:65000      | 存活:3 | 均值:1.95Mbps | 峰值:4.67Mbps
113.141.220.55:9901       | 存活:3 | 均值:0.54Mbps | 峰值:0.74Mbps
113.15.109.216:59901      | 存活:3 | 均值:1.31Mbps | 峰值:2.82Mbps
113.25.252.226:9901       | 存活:3 | 均值:1.24Mbps | 峰值:2.22Mbps
113.26.202.52:1299        | 存活:2 | 均值:0.07Mbps | 峰值:0.09Mbps
113.57.20.185:1111        | 存活:2 | 均值:0.08Mbps | 峰值:0.12Mbps
115.150.63.77:9902        | 存活:3 | 均值:0.87Mbps | 峰值:1.27Mbps
115.48.160.136:9901       | 存活:3 | 均值:1.29Mbps | 峰值:1.82Mbps
116.21.25.188:9901        | 存活:3 | 均值:6.3Mbps | 峰值:10.56Mbps
116.77.33.98:44330        | 存活:3 | 均值:1.49Mbps | 峰值:2.31Mbps
118.77.155.221:9901       | 存活:3 | 均值:0.5Mbps | 峰值:0.8Mbps
119.39.9.8:9901           | 存活:3 | 均值:5.01Mbps | 峰值:11.3Mbps
120.196.235.42:9901       | 存活:3 | 均值:1.14Mbps | 峰值:2.53Mbps
120.198.95.220:9901       | 存活:3 | 均值:3.43Mbps | 峰值:4.6Mbps
120.202.94.181:9446       | 存活:3 | 均值:2.82Mbps | 峰值:4.34Mbps
120.27.63.14:30006        | 存活:3 | 均值:0.25Mbps | 峰值:0.56Mbps
120.70.60.179:9901        | 存活:3 | 均值:4.42Mbps | 峰值:8.66Mbps
121.19.134.216:808        | 存活:3 | 均值:0.46Mbps | 峰值:0.61Mbps
123.149.40.175:9901       | 存活:3 | 均值:1.64Mbps | 峰值:2.28Mbps
123.149.43.194:9901       | 存活:3 | 均值:2.31Mbps | 峰值:5.18Mbps
124.114.101.136:9901      | 存活:3 | 均值:3.12Mbps | 峰值:4.57Mbps
124.114.101.184:9901      | 存活:3 | 均值:3.36Mbps | 峰值:4.54Mbps
124.114.103.137:9901      | 存活:3 | 均值:2.87Mbps | 峰值:4.65Mbps
124.228.160.14:9901       | 存活:3 | 均值:0.27Mbps | 峰值:0.38Mbps
125.42.148.129:9901       | 存活:3 | 均值:0.58Mbps | 峰值:0.72Mbps
125.42.149.111:9901       | 存活:3 | 均值:0.88Mbps | 峰值:1.05Mbps
125.42.150.102:9901       | 存活:3 | 均值:0.7Mbps | 峰值:0.9Mbps
125.42.150.82:9901        | 存活:3 | 均值:0.78Mbps | 峰值:1.0Mbps
125.43.247.245:9901       | 存活:3 | 均值:5.89Mbps | 峰值:10.22Mbps
144.123.165.186:9901      | 存活:3 | 均值:1.3Mbps | 峰值:1.99Mbps
144.52.161.141:9901       | 存活:3 | 均值:0.32Mbps | 峰值:0.47Mbps
153.0.171.163:9901        | 存活:3 | 均值:1.03Mbps | 峰值:4.5Mbps
171.12.166.136:9901       | 存活:3 | 均值:0.76Mbps | 峰值:1.87Mbps
171.14.89.119:9901        | 存活:3 | 均值:0.53Mbps | 峰值:0.83Mbps
171.43.65.229:9901        | 存活:1 | 均值:4.88Mbps | 峰值:8.26Mbps
171.43.65.82:9901         | 存活:2 | 均值:3.24Mbps | 峰值:5.72Mbps
171.8.84.196:9901         | 存活:3 | 均值:0.07Mbps | 峰值:0.12Mbps
175.10.19.5:9999          | 存活:3 | 均值:2.61Mbps | 峰值:4.25Mbps
182.123.210.93:9901       | 存活:3 | 均值:7.6Mbps | 峰值:10.08Mbps
182.207.218.24:999        | 存活:3 | 均值:4.08Mbps | 峰值:8.96Mbps
182.91.124.224:8801       | 存活:3 | 均值:0.49Mbps | 峰值:1.05Mbps
182.91.124.60:8801        | 存活:3 | 均值:4.23Mbps | 峰值:9.76Mbps
182.91.124.61:8801        | 存活:3 | 均值:3.01Mbps | 峰值:4.77Mbps
183.186.172.30:9888       | 存活:3 | 均值:3.23Mbps | 峰值:5.41Mbps
183.186.68.174:9999       | 存活:3 | 均值:7.11Mbps | 峰值:9.78Mbps
183.186.68.206:9999       | 存活:3 | 均值:5.94Mbps | 峰值:9.87Mbps
183.190.163.221:888       | 存活:3 | 均值:2.65Mbps | 峰值:6.61Mbps
183.223.157.33:9901       | 存活:3 | 均值:2.42Mbps | 峰值:3.13Mbps
183.239.226.235:9901      | 存活:1 | 均值:0.07Mbps | 峰值:0.08Mbps
218.1.208.13:7777         | 存活:3 | 均值:0.12Mbps | 峰值:0.15Mbps
218.104.239.114:9901      | 存活:3 | 均值:1.74Mbps | 峰值:2.0Mbps
218.13.170.98:9901        | 存活:3 | 均值:0.41Mbps | 峰值:0.58Mbps
218.77.62.245:10999       | 存活:3 | 均值:0.38Mbps | 峰值:0.5Mbps
219.137.203.66:9901       | 存活:3 | 均值:1.66Mbps | 峰值:3.76Mbps
219.137.203.90:9901       | 存活:3 | 均值:1.79Mbps | 峰值:3.42Mbps
219.140.4.193:7777        | 存活:3 | 均值:1.17Mbps | 峰值:1.37Mbps
219.140.6.129:7777        | 存活:3 | 均值:1.19Mbps | 峰值:2.27Mbps
219.144.157.62:9901       | 存活:2 | 均值:0.02Mbps | 峰值:0.02Mbps
219.145.93.74:10000       | 存活:2 | 均值:0.04Mbps | 峰值:0.05Mbps
219.146.95.58:59902       | 存活:3 | 均值:0.15Mbps | 峰值:0.17Mbps
219.159.91.10:8801        | 存活:3 | 均值:0.75Mbps | 峰值:1.01Mbps
220.187.217.83:9901       | 存活:3 | 均值:3.84Mbps | 峰值:7.49Mbps
220.187.218.175:9901      | 存活:3 | 均值:3.65Mbps | 峰值:6.52Mbps
221.13.233.243:9901       | 存活:3 | 均值:7.68Mbps | 峰值:10.49Mbps
221.13.234.220:9901       | 存活:3 | 均值:7.8Mbps | 峰值:11.16Mbps
221.13.234.243:9901       | 存活:3 | 均值:7.69Mbps | 峰值:10.39Mbps
221.232.100.225:7777      | 存活:3 | 均值:1.06Mbps | 峰值:2.04Mbps
221.232.102.143:7777      | 存活:3 | 均值:0.68Mbps | 峰值:1.3Mbps
221.232.196.109:7777      | 存活:3 | 均值:3.78Mbps | 峰值:5.38Mbps
221.232.196.73:7777       | 存活:3 | 均值:2.67Mbps | 峰值:6.73Mbps
221.232.197.145:7777      | 存活:3 | 均值:0.66Mbps | 峰值:1.0Mbps
221.232.197.200:7777      | 存活:3 | 均值:2.78Mbps | 峰值:4.26Mbps
221.232.197.28:7777       | 存活:3 | 均值:3.35Mbps | 峰值:7.39Mbps
221.232.197.38:7777       | 存活:2 | 均值:3.83Mbps | 峰值:6.92Mbps
221.232.197.8:7777        | 存活:2 | 均值:4.13Mbps | 峰值:5.68Mbps
221.232.198.109:7777      | 存活:3 | 均值:3.36Mbps | 峰值:6.31Mbps
221.232.198.123:7777      | 存活:3 | 均值:3.56Mbps | 峰值:6.06Mbps
221.232.198.234:7777      | 存活:2 | 均值:3.35Mbps | 峰值:7.45Mbps
221.232.199.117:7777      | 存活:3 | 均值:3.11Mbps | 峰值:5.51Mbps
221.232.199.208:7777      | 存活:2 | 均值:1.8Mbps | 峰值:2.43Mbps
221.7.175.127:9901        | 存活:3 | 均值:0.15Mbps | 峰值:0.19Mbps
221.7.175.154:8445        | 存活:3 | 均值:8.74Mbps | 峰值:12.76Mbps
222.169.85.8:9901         | 存活:3 | 均值:1.39Mbps | 峰值:2.23Mbps
222.214.208.34:59901      | 存活:3 | 均值:1.16Mbps | 峰值:1.51Mbps
223.14.160.57:9901        | 存活:3 | 均值:0.51Mbps | 峰值:0.62Mbps
27.15.7.10:9901           | 存活:3 | 均值:4.38Mbps | 峰值:7.41Mbps
27.15.7.152:9901          | 存活:3 | 均值:2.89Mbps | 峰值:6.24Mbps
36.136.38.87:9901         | 存活:3 | 均值:3.08Mbps | 峰值:4.54Mbps
39.164.164.132:9901       | 存活:3 | 均值:1.73Mbps | 峰值:3.74Mbps
42.225.117.174:11199      | 存活:2 | 均值:0.09Mbps | 峰值:0.15Mbps
49.234.31.101:7033        | 存活:3 | 均值:0.04Mbps | 峰值:0.07Mbps
49.234.31.101:7066        | 存活:3 | 均值:0.04Mbps | 峰值:0.06Mbps
49.87.154.246:10091       | 存活:3 | 均值:0.11Mbps | 峰值:0.14Mbps
59.174.116.246:7777       | 存活:3 | 均值:1.48Mbps | 峰值:2.26Mbps
59.174.117.160:7777       | 存活:3 | 均值:1.23Mbps | 峰值:1.84Mbps
59.174.119.165:7777       | 存活:3 | 均值:0.91Mbps | 峰值:1.7Mbps
59.175.155.147:7777       | 存活:3 | 均值:0.12Mbps | 峰值:0.13Mbps
61.184.46.85:9901         | 存活:3 | 均值:2.41Mbps | 峰值:3.24Mbps
61.185.200.206:9901       | 存活:3 | 均值:0.94Mbps | 峰值:3.27Mbps
61.185.200.25:9902        | 存活:3 | 均值:0.4Mbps | 峰值:0.47Mbps
61.185.200.27:9904        | 存活:3 | 均值:0.74Mbps | 峰值:1.15Mbps
61.54.181.197:9901        | 存活:3 | 均值:0.64Mbps | 峰值:1.5Mbps
shuangyashan.coccc.online:65000 | 存活:3 | 均值:0.92Mbps | 峰值:1.34Mbps
