更新时间: 2026-04-10 15:05:13（北京时间）

更新时间,#genre#
2026-04-10 15:05:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV12,http://106.116.240.74:9999/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://60.184.112.120:4023/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://182.135.34.97:888/rtp/239.94.0.12:5140$四川电信
CCTV13,http://106.116.240.74:9999/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://60.184.112.120:4023/rtp/233.50.200.97:5140$浙江电信
CCTV13,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://182.135.34.97:888/rtp/239.94.0.13:5140$四川电信
CCTV13,http://182.135.34.97:888/rtp/239.94.0.37:5140$四川电信
CCTV14,http://106.116.240.74:9999/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://60.184.112.120:4023/rtp/233.50.200.103:5140$浙江电信
CCTV14,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://182.135.34.97:888/rtp/239.94.0.14:5140$四川电信
CCTV15,http://106.116.240.74:9999/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://60.184.112.120:4023/rtp/233.50.200.133:5140$浙江电信
CCTV15,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
CCTV15,http://182.135.34.97:888/rtp/239.94.0.15:5140$四川电信
CCTV15,http://182.135.34.97:888/rtp/239.94.0.38:5140$四川电信
CCTV16,http://106.116.240.74:9999/rtp/239.254.200.61:6344$河北省电信
CCTV16,http://60.184.112.120:4023/rtp/233.50.201.192:5140$浙江电信
CCTV16,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV17,http://106.116.240.74:9999/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://60.184.112.120:4023/rtp/233.50.200.113:5140$浙江电信
CCTV17,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV17,http://182.135.34.97:888/rtp/239.94.0.39:5140$四川电信
CCTV17,http://182.135.34.97:888/rtp/239.94.0.17:5140$四川电信
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
CCTV4K,http://60.184.112.120:4023/rtp/233.50.201.226:5140$浙江电信
CCTV4K,http://182.135.34.97:888/rtp/239.94.0.20:5140$四川电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
